experience_years,education_level,current_technology,job_title,required_technology,number_of_switches,career_switches
6,PhD,Java,Data Scientist,C++,3,"Data Scientist,DevOps Engineer,Software Engineer,DevOps Engineer,DevOps Engineer"
7,Master,SQL,Product Manager,JavaScript,2,"Software Engineer,Product Manager,System Analyst,Data Scientist,System Analyst"
2,PhD,JavaScript,DevOps Engineer,SQL,2,"Product Manager,DevOps Engineer,Product Manager,Software Engineer"
7,PhD,Java,Data Scientist,Java,2,"System Analyst,DevOps Engineer,Software Engineer,System Analyst,Product Manager"
19,Bachelor,Java,Product Manager,Python,3,"Data Scientist,Data Scientist,Software Engineer,System Analyst"
18,PhD,C++,DevOps Engineer,C++,3,"Data Scientist,Software Engineer,Product Manager,Software Engineer"
5,PhD,JavaScript,Data Scientist,Java,1,"DevOps Engineer,Product Manager"
10,PhD,JavaScript,Software Engineer,SQL,2,Data Scientist
19,Master,C++,System Analyst,C++,4,"System Analyst,DevOps Engineer,System Analyst"
10,PhD,Python,Product Manager,JavaScript,2,"Data Scientist,System Analyst,DevOps Engineer,Data Scientist"
9,PhD,C++,Data Scientist,Python,1,"Data Scientist,Software Engineer,DevOps Engineer,Software Engineer,Software Engineer"
14,Bachelor,JavaScript,Software Engineer,SQL,1,"Software Engineer,Product Manager,Product Manager,Software Engineer"
7,Bachelor,Python,Software Engineer,SQL,1,"System Analyst,System Analyst,Software Engineer,DevOps Engineer,Data Scientist"
8,Bachelor,C++,Data Scientist,C++,3,"System Analyst,Data Scientist,Software Engineer,Data Scientist"
8,Master,JavaScript,Software Engineer,C++,2,"Product Manager,System Analyst,Product Manager,System Analyst"
3,Master,SQL,DevOps Engineer,C++,1,"Data Scientist,DevOps Engineer"
8,PhD,Python,Product Manager,JavaScript,3,"System Analyst,DevOps Engineer"
1,Master,JavaScript,DevOps Engineer,Java,2,"Software Engineer,Software Engineer,DevOps Engineer,System Analyst"
17,Bachelor,SQL,Software Engineer,JavaScript,3,"Data Scientist,Product Manager,Software Engineer"
3,Master,JavaScript,DevOps Engineer,C++,3,"Data Scientist,Product Manager"
10,Bachelor,SQL,System Analyst,Java,1,"Product Manager,Product Manager,Product Manager,Software Engineer"
