Name,Age,Job_switches,Career,Education,Experience
bYjdDCoEfw,21,1,Web developer,PhD,29
cRWKwUqwGd,35,5,Senior Systems Engineer,Masters,23
IaXcUljgva,37,0,Web developer,Bachelors,29
cqCOxdWrlA,40,3,Software Engineer,Masters,4
ENRmsYuVXC,60,4,Data Scientist,Masters,20
UXmkEIVmOE,30,6,DevOps Manager,Masters,22
LgaxSLfPfR,34,4,UX/UI Design Lead,PhD,34
OAkJoHDNIL,59,2,Technical Project Manager,PhD,37
SSzqLNHJuu,38,2,UX/UI Designer,Bachelors,25
jPegfysCxB,59,6,Senior Systems Engineer,Bachelors,40
wBJXekcMgi,34,3,Product Manager,PhD,3
PXYbqUACCH,25,0,DevOps Manager,PhD,24
TyvcaMaqtN,32,4,UX/UI Design Lead,Bachelors,16
QScazETzOM,48,5,UX/UI Design Lead,Bachelors,27
AYrguGQOiY,31,6,Systems Engineer,Bachelors,33
immgcbCrfJ,38,4,Senior Systems Engineer,Bachelors,33
hVuELFRNPS,42,4,Senior Systems Engineer,Bachelors,8
nmKOaqERBs,56,3,Senior Systems Engineer,Masters,38
ZkWfjrAUxa,22,1,Systems Engineer,Masters,22
ENcvAYYjwt,58,1,Engineering Manager,Masters,34
DuTVVRktwN,33,5,UX/UI Design Lead,PhD,0
BoePKbStKl,24,2,Data Scientist,PhD,16
RCGfoqwZwx,27,2,UX/UI Design Lead,Bachelors,22
JVBffJNiUW,23,5,Data Analyst,Masters,17
XPYNhivQdw,33,0,Senior Systems Engineer,Masters,23
LLBBhUuJzJ,45,2,Data Analyst,PhD,40
VPJrbBJTNW,35,2,Engineering Manager,Masters,13
ZQCKlHtToP,60,3,Engineering Manager,Masters,25
QKLItTVTGy,21,2,Data Scientist,Bachelors,23
zwCHwAXzXx,44,6,Data Scientist,Masters,37
KWeKLzrAoa,39,0,Product Manager,Bachelors,32
XAcgOGcykY,23,3,Data Scientist,Bachelors,7
PHuBMKNxKf,23,4,DevOps Manager,Bachelors,25
HHNErQhuZP,60,6,Technical Project Manager,Bachelors,40
LWfRIemaRT,57,5,Data Scientist,Bachelors,36
XliQSiBoXS,55,0,UX/UI Designer,PhD,5
zSlGhXcKXM,59,1,Engineering Manager,Masters,33
DDXjPONuIe,22,4,UX/UI Designer,Masters,3
NRLNMuvNJI,33,0,Data Analyst,Bachelors,24
SuOfPNnBSG,38,6,DevOps Engineer,Bachelors,25
oJXwebkvQb,51,6,DevOps Engineer,PhD,27
xThWWiAqQd,22,4,Technical Support Specialist,Masters,14
oaaBnEuZHo,32,4,Technical Support Specialist,Bachelors,0
lnXuHNrYNb,55,5,UX/UI Designer,Bachelors,39
cxInflMprE,20,6,Web developer,PhD,18
FhqFZyAGsa,40,4,DevOps Engineer,PhD,8
OnfEeMctEf,41,5,DevOps Manager,Masters,28
myfubQxCOU,24,0,DevOps Manager,PhD,30
ZblnaXegOr,31,2,Engineering Manager,Masters,4
FrAqkNUjvG,34,6,Engineering Manager,Masters,6
GNchwGqCWj,53,3,DevOps Manager,PhD,19
XTMcgoCfDw,54,0,Engineering Manager,Masters,33
dmCQTTGpTb,24,6,DevOps Manager,Bachelors,23
HgYHbUshWd,20,4,Software Engineer,Bachelors,2
zkdiMvrvEJ,20,6,UX/UI Design Lead,Masters,21
szDJIIQZRm,24,0,UX/UI Designer,Bachelors,15
qeBnphvPbw,33,2,Technical Project Manager,Masters,1
QaRYmcKoqn,57,6,DevOps Engineer,PhD,5
XqdWQcNJyy,51,4,Systems Engineer,Bachelors,18
pApuDsJTcc,23,5,UX/UI Design Lead,Bachelors,35
kKGiLJikrB,54,2,DevOps Manager,Masters,13
IjbJNestbB,20,2,Technical Project Manager,Bachelors,30
tUzwipOKeQ,37,2,Technical Project Manager,Masters,16
RpcnTDbIEH,25,1,Web developer,Masters,10
EIGgeIrfZs,22,6,Systems Engineer,Masters,35
bwDxqWhoZj,23,3,Web developer,Bachelors,8
vqCOCyrUQJ,20,1,Software Engineer,PhD,37
dadeangiGV,28,5,Data Scientist,PhD,9
dvIPPoEXzW,39,3,Software Engineer,Bachelors,6
bAweYcvqLQ,55,5,Technical Support Specialist,PhD,8
YfquNKcHhD,48,3,Systems Engineer,Bachelors,39
JcwJVdVlmF,59,6,Technical Project Manager,Masters,4
HzFvErefHN,39,4,Senior Systems Engineer,Masters,31
eGoMljjvCV,21,0,Engineering Manager,Bachelors,22
hMzKyspfNF,43,2,Web developer,Masters,30
TzERYLmmPl,45,3,Senior Systems Engineer,Masters,22
FDXTGmzJVn,21,1,Web developer,PhD,30
rHzmbCDwva,59,6,UX/UI Designer,Bachelors,23
IIKDIAlMNn,36,6,Software Engineer,PhD,17
NYIBxDDLLr,47,6,Systems Engineer,Bachelors,10
TLjZJkAnZZ,26,1,Data Analyst,Masters,27
cVeaXWkJNN,43,4,Web developer,Bachelors,29
eMlMPSDOpU,49,3,UX/UI Design Lead,Bachelors,40
dzGnjGLjxK,36,2,Web developer,Bachelors,10
YmRbBivDHJ,56,1,DevOps Engineer,Bachelors,39
NlKuvrVNiK,23,0,DevOps Manager,Bachelors,23
peIHDpLLBX,60,0,Senior Systems Engineer,PhD,27
IgWuTULMAU,40,1,Data Scientist,Masters,3
HRxWKZiNgF,49,1,Data Scientist,PhD,28
aaSvwCXrWR,50,5,UX/UI Design Lead,Bachelors,18
enQCjOhiQx,48,6,Data Analyst,PhD,8
VnpFNEYTLl,33,3,Product Manager,PhD,20
CBelJpdizm,56,2,Senior Systems Engineer,Masters,40
JQgEBrQTWo,32,2,DevOps Manager,Masters,1
BfddfldscA,33,1,Technical Project Manager,PhD,37
sFOkOpMkhH,30,6,Product Manager,Masters,20
MWGpvcEXGs,38,0,Technical Support Specialist,PhD,29
akcOHNEYrl,56,5,Software Engineer,Masters,31
khvMeGvFKy,32,1,Engineering Manager,Bachelors,11
EZojmNjgux,51,0,Senior Systems Engineer,Bachelors,39
yTHtqWqIfC,31,1,Technical Support Specialist,Masters,21
LWDDZdmBoH,33,0,Web developer,Bachelors,36
FGqkCUEPud,42,0,Technical Project Manager,PhD,38
qzstbZImTo,44,6,Software Engineer,Masters,12
zOLsVOwJSJ,49,4,UX/UI Design Lead,Bachelors,16
NodugdcKKk,21,1,Product Manager,Masters,29
hyTBjYLugS,52,0,Technical Project Manager,Masters,35
vKOkQQROLu,57,5,UX/UI Design Lead,PhD,11
YdFQPvVjVR,48,2,DevOps Engineer,PhD,39
hjbRxCdvKF,36,5,DevOps Manager,Bachelors,26
fUdpnDUfKi,55,6,Data Scientist,Bachelors,5
ufvChHGggv,45,0,DevOps Manager,Masters,1
pvxYBizmSj,34,6,UX/UI Design Lead,Masters,23
GXiehydBGi,34,5,Technical Project Manager,Masters,38
KtqIlEHuuw,55,4,Software Engineer,PhD,13
VREehAfuhC,54,3,Systems Engineer,Masters,1
jOPKWxRsNW,56,3,Product Manager,Masters,3
eBJtIqubnp,20,3,Systems Engineer,PhD,4
bXbICsXaKP,56,5,DevOps Manager,Bachelors,12
jZWgnuqdfB,58,6,DevOps Manager,Masters,13
HlqRGdVzAF,52,2,Software Engineer,Masters,27
fcXXsawwcp,30,1,Systems Engineer,PhD,14
tsTEHfsziG,59,6,Software Engineer,Masters,30
MyGMYuYCHw,36,1,Data Analyst,Masters,40
PlEnIkiKoG,25,4,Technical Support Specialist,Masters,19
MfYIWSdbYv,60,6,Data Scientist,Bachelors,36
AOTGfsgVnv,57,6,Technical Project Manager,PhD,21
XAefWxvnLG,42,2,UX/UI Designer,Masters,31
YgJnyqYftf,59,6,Web developer,PhD,17
EcZYGLakeJ,39,6,Software Engineer,Bachelors,0
mlycMfMtbS,24,3,Web developer,PhD,21
NoUuAOukzX,54,4,Technical Project Manager,Masters,21
qFaTUGRwKm,54,4,Senior Systems Engineer,PhD,20
lccsivQrAp,43,4,Systems Engineer,PhD,40
AZfLroTLTJ,26,3,DevOps Manager,PhD,33
PhwWhZvQLZ,56,3,Web developer,PhD,33
UMlQTzzFWo,51,4,Data Scientist,PhD,14
vftiXNBfjL,48,3,Technical Project Manager,PhD,13
fYwcnEclSb,53,3,Systems Engineer,Bachelors,23
tVNcuqoJRu,20,5,Product Manager,Masters,2
gNQFaRecpE,32,5,Data Scientist,PhD,27
ObZWBiNaeh,29,5,Web developer,Bachelors,19
twPEJPXQhE,41,6,Web developer,PhD,34
UQWpREnKRb,25,0,UX/UI Designer,Masters,32
QuwUUoXwMT,40,2,UX/UI Design Lead,Masters,28
GaCFsmqNVT,48,3,DevOps Manager,PhD,29
CAwIpAUlKE,31,1,Data Scientist,Bachelors,21
DBNJqwhBNd,54,1,Product Manager,Masters,3
eWDuDuDjBt,20,0,UX/UI Designer,Bachelors,33
PeVbpNxVLi,26,0,Software Engineer,Masters,40
LQtQakljtG,41,4,Data Scientist,PhD,0
eXRuXbiNrm,46,4,DevOps Engineer,Bachelors,10
YXWQSQeRbB,32,0,UX/UI Designer,Masters,30
YrvkNUnLjM,51,1,Engineering Manager,Bachelors,37
hLceIcUbSO,42,1,DevOps Manager,PhD,25
DNILFIlqqe,56,0,Engineering Manager,Masters,18
